query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T090,Temporal,27.50,600,"{'_source': {'id1': 'id043', 'id2': 'id037', 'value': 22.407424}}",,asap
T091,Temporal,27.38,600,"{'_source': {'id1': 'id083', 'id2': 'id093', 'value': 2.791552}}",,asap
T092,Temporal,27.39,600,"{'_source': {'id1': 'id070', 'id2': 'id019', 'value': 49.412489}}",,asap
T093,Temporal,46.12,600,"{'_source': {'id1': 'id064', 'id2': 'id098', 'value': 24.762413}}",,asap
T094,Temporal,27.52,600,"{'_source': {'id1': 'id018', 'id2': 'id028', 'value': 10.371456}}",,asap
T095,Temporal,22.79,600,"{'_source': {'id1': 'id030', 'id2': 'id068', 'value': 4.901994}}",,asap
T096,Temporal,27.13,600,"{'_source': {'id1': 'id028', 'id2': 'id003', 'value': 93.952944}}",,asap
T097,Temporal,21.17,600,"{'_source': {'id1': 'id042', 'id2': 'id056', 'value': 98.109048}}",,asap
T098,Temporal,27.31,600,"{'_source': {'id1': 'id086', 'id2': 'id020', 'value': 77.791443}}",,asap
T099,Temporal,19.43,600,"{'_source': {'id1': 'id072', 'id2': 'id082', 'value': 9.032675}}",,asap
T100,Temporal,35.78,600,"{'_source': {'id1': 'id064', 'id2': 'id078', 'value': 63.957627}}",,asap
T101,Temporal,27.85,600,"{'_source': {'id1': 'id018', 'id2': 'id012', 'value': 95.56851}}",,asap
T102,Temporal,27.27,600,"{'_source': {'id1': 'id001', 'id2': 'id009', 'value': 83.421303}}",,asap
T103,Temporal,27.57,600,"{'_source': {'id1': 'id096', 'id2': 'id030', 'value': 0.022363}}",,asap
T104,Temporal,19.01,600,"{'_source': {'id1': 'id052', 'id2': 'id045', 'value': 31.762953}}",,asap
T105,Temporal,27.20,600,"{'_source': {'id1': 'id001', 'id2': 'id072', 'value': 52.552085}}",,asap
T106,Temporal,27.29,600,"{'_source': {'id1': 'id100', 'id2': 'id059', 'value': 99.217718}}",,asap
T107,Temporal,27.44,600,"{'_source': {'id1': 'id070', 'id2': 'id011', 'value': 51.12415}}",,asap
T108,Temporal,27.29,600,"{'_source': {'id1': 'id076', 'id2': 'id051', 'value': 7.42689}}",,asap
T109,Temporal,22.58,600,"{'_source': {'id1': 'id057', 'id2': 'id004', 'value': 97.671427}}",,asap
T110,Temporal,27.02,600,"{'_source': {'id1': 'id089', 'id2': 'id086', 'value': 3.664306}}",,asap
T111,Temporal,27.64,600,"{'_source': {'id1': 'id097', 'id2': 'id010', 'value': 18.603198}}",,asap
T112,Temporal,27.58,600,"{'_source': {'id1': 'id031', 'id2': 'id069', 'value': 16.748773}}",,asap
T113,Temporal,27.09,600,"{'_source': {'id1': 'id072', 'id2': 'id082', 'value': 25.704996}}",,asap
T114,Temporal,26.87,600,"{'_source': {'id1': 'id033', 'id2': 'id086', 'value': 78.692008}}",,asap
T115,Temporal,33.01,600,"{'_source': {'id1': 'id001', 'id2': 'id003', 'value': 92.354277}}",,asap
T116,Temporal,27.33,600,"{'_source': {'id1': 'id008', 'id2': 'id038', 'value': 85.072415}}",,asap
T117,Temporal,21.15,600,"{'_source': {'id1': 'id032', 'id2': 'id036', 'value': 84.429257}}",,asap
T118,Temporal,27.42,600,"{'_source': {'id1': 'id039', 'id2': 'id090', 'value': 62.537646}}",,asap
T119,Temporal,29.02,600,"{'_source': {'id1': 'id080', 'id2': 'id051', 'value': 88.386649}}",,asap
