query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T222,Temporal,26.42,585,[32.521127],,baseline
T223,Temporal,26.28,589,[41.098135],,baseline
T224,Temporal,27.44,586,[33.925137],,baseline
T225,Temporal,26.26,586,[83.670691],,baseline
T226,Temporal,26.55,590,[90.290572],,baseline
T227,Temporal,25.80,581,[77.937667],,baseline
T228,Temporal,26.00,584,[78.883803],,baseline
T229,Temporal,34.66,581,[56.922693],,baseline
T230,Temporal,28.82,593,[72.851469],,baseline
T231,Temporal,25.93,587,[35.660386],,baseline
T232,Temporal,25.92,586,[4.761888],,baseline
T233,Temporal,25.76,580,[20.214708],,baseline
T234,Temporal,27.05,582,[59.240262],,baseline
T235,Temporal,25.82,580,[81.36505],,baseline
T236,Temporal,25.73,578,[27.21471],,baseline
T237,Temporal,25.93,591,[0.167057],,baseline
T238,Temporal,25.83,582,[16.85271],,baseline
T239,Temporal,26.03,581,[7.358213],,baseline
T240,Temporal,25.68,586,[98.102917],,baseline
T241,Temporal,26.10,583,[27.759229],,baseline
T242,Temporal,20.15,588,[77.926955],,baseline
T243,Temporal,30.97,575,[83.866047],,baseline
T244,Temporal,26.95,582,[72.08849],,baseline
T245,Temporal,26.41,583,[38.415688],,baseline
T246,Temporal,26.20,584,[76.860054],,baseline
T247,Temporal,26.16,579,[63.06933355],,baseline
T248,Temporal,26.58,584,[95.432011],,baseline
T249,Temporal,26.20,572,[71.737228],,baseline
T250,Temporal,26.44,590,[89.873835],,baseline
T251,Temporal,27.42,575,[95.619124],,baseline
T252,Temporal,26.09,576,[51.910601],,baseline
T253,Temporal,25.86,588,[81.724292],,baseline
T254,Temporal,25.80,576,[87.240927],,baseline
T255,Temporal,26.07,591,[67.296047],,baseline
T256,Temporal,25.76,581,[32.412472],,baseline
T257,Temporal,26.24,585,[8.921734],,baseline
T258,Temporal,25.93,582,[76.068392],,baseline
T259,Temporal,26.05,583,[69.047102],,baseline
T260,Temporal,26.18,580,[43.780198],,baseline
T261,Temporal,25.82,583,[55.66684],,baseline
T262,Temporal,25.76,580,[69.99338589999999],,baseline
T263,Temporal,25.76,586,[22.22892],,baseline
