query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T075,Temporal,28.71,600,"{'_source': {'id1': 'id075', 'id2': 'id045', 'value': 78.945709}}",,asap
T076,Temporal,22.87,600,"{'_source': {'id1': 'id065', 'id2': 'id082', 'value': 26.623479}}",,asap
T077,Temporal,29.07,600,"{'_source': {'id1': 'id003', 'id2': 'id030', 'value': 70.401181}}",,asap
T078,Temporal,20.92,600,"{'_source': {'id1': 'id023', 'id2': 'id060', 'value': 84.850048}}",,asap
T079,Temporal,29.41,600,"{'_source': {'id1': 'id045', 'id2': 'id061', 'value': 10.517356}}",,asap
T080,Temporal,30.55,600,"{'_source': {'id1': 'id024', 'id2': 'id022', 'value': 79.293944}}",,asap
T081,Temporal,28.96,600,"{'_source': {'id1': 'id018', 'id2': 'id070', 'value': 41.833582}}",,asap
T082,Temporal,28.35,600,"{'_source': {'id1': 'id011', 'id2': 'id035', 'value': 85.526112}}",,asap
T083,Temporal,29.32,600,"{'_source': {'id1': 'id099', 'id2': 'id021', 'value': 88.188837}}",,asap
T084,Temporal,28.26,600,"{'_source': {'id1': 'id084', 'id2': 'id089', 'value': 70.478808}}",,asap
T085,Temporal,31.22,600,"{'_source': {'id1': 'id029', 'id2': 'id042', 'value': 87.768126}}",,asap
T086,Temporal,30.73,600,"{'_source': {'id1': 'id061', 'id2': 'id088', 'value': 0.462446}}",,asap
T087,Temporal,13.67,600,"{'_source': {'id1': 'id071', 'id2': 'id020', 'value': 95.95895}}",,asap
T088,Temporal,28.29,600,"{'_source': {'id1': 'id003', 'id2': 'id064', 'value': 59.922424}}",,asap
T089,Temporal,27.14,600,"{'_source': {'id1': 'id052', 'id2': 'id063', 'value': 89.969083}}",,asap
T090,Temporal,28.84,600,"{'_source': {'id1': 'id096', 'id2': 'id032', 'value': 18.528858}}",,asap
T091,Temporal,27.31,600,"{'_source': {'id1': 'id015', 'id2': 'id029', 'value': 78.672548}}",,asap
T092,Temporal,32.35,600,"{'_source': {'id1': 'id072', 'id2': 'id077', 'value': 83.266951}}",,asap
T093,Temporal,29.44,600,"{'_source': {'id1': 'id028', 'id2': 'id023', 'value': 43.739901}}",,asap
T094,Temporal,29.52,600,"{'_source': {'id1': 'id065', 'id2': 'id051', 'value': 83.55034}}",,asap
T095,Temporal,29.12,600,"{'_source': {'id1': 'id029', 'id2': 'id023', 'value': 41.807348}}",,asap
T096,Temporal,28.60,600,"{'_source': {'id1': 'id015', 'id2': 'id016', 'value': 48.111392}}",,asap
T097,Temporal,29.42,600,"{'_source': {'id1': 'id062', 'id2': 'id059', 'value': 29.300763}}",,asap
T098,Temporal,28.49,600,"{'_source': {'id1': 'id038', 'id2': 'id053', 'value': 45.14991}}",,asap
T099,Temporal,33.42,600,"{'_source': {'id1': 'id014', 'id2': 'id098', 'value': 61.308422}}",,asap
T100,Temporal,31.41,600,"{'_source': {'id1': 'id021', 'id2': 'id070', 'value': 11.62831}}",,asap
T101,Temporal,16.51,600,"{'_source': {'id1': 'id022', 'id2': 'id044', 'value': 90.278178}}",,asap
T102,Temporal,28.92,600,"{'_source': {'id1': 'id099', 'id2': 'id006', 'value': 42.377459}}",,asap
T103,Temporal,27.47,600,"{'_source': {'id1': 'id040', 'id2': 'id083', 'value': 89.604676}}",,asap
T104,Temporal,28.60,600,"{'_source': {'id1': 'id085', 'id2': 'id060', 'value': 64.085753}}",,asap
T105,Temporal,27.27,600,"{'_source': {'id1': 'id023', 'id2': 'id016', 'value': 93.074206}}",,asap
T106,Temporal,14.97,600,"{'_source': {'id1': 'id065', 'id2': 'id049', 'value': 60.298264}}",,asap
T107,Temporal,29.14,600,"{'_source': {'id1': 'id016', 'id2': 'id003', 'value': 39.609117}}",,asap
T108,Temporal,15.53,600,"{'_source': {'id1': 'id058', 'id2': 'id054', 'value': 19.102855}}",,asap
T109,Temporal,28.51,600,"{'_source': {'id1': 'id081', 'id2': 'id094', 'value': 24.685175}}",,asap
T110,Temporal,27.66,600,"{'_source': {'id1': 'id085', 'id2': 'id093', 'value': 26.376304}}",,asap
T111,Temporal,28.36,600,"{'_source': {'id1': 'id047', 'id2': 'id100', 'value': 52.136787}}",,asap
T112,Temporal,28.42,600,"{'_source': {'id1': 'id009', 'id2': 'id026', 'value': 72.085088}}",,asap
T113,Temporal,31.97,600,"{'_source': {'id1': 'id040', 'id2': 'id024', 'value': 70.522344}}",,asap
T114,Temporal,29.00,600,"{'_source': {'id1': 'id044', 'id2': 'id087', 'value': 11.188967}}",,asap
T115,Temporal,29.28,600,"{'_source': {'id1': 'id057', 'id2': 'id072', 'value': 13.96767}}",,asap
T116,Temporal,29.05,600,"{'_source': {'id1': 'id048', 'id2': 'id040', 'value': 62.961312}}",,asap
T117,Temporal,28.55,600,"{'_source': {'id1': 'id001', 'id2': 'id033', 'value': 55.353516}}",,asap
T118,Temporal,29.55,600,"{'_source': {'id1': 'id032', 'id2': 'id060', 'value': 55.852056}}",,asap
T119,Temporal,32.54,600,"{'_source': {'id1': 'id059', 'id2': 'id003', 'value': 50.868057}}",,asap
T120,Temporal,30.48,600,"{'_source': {'id1': 'id021', 'id2': 'id038', 'value': 56.565841}}",,asap
T121,Temporal,27.57,600,"{'_source': {'id1': 'id066', 'id2': 'id075', 'value': 1.699701}}",,asap
T122,Temporal,29.12,600,"{'_source': {'id1': 'id031', 'id2': 'id032', 'value': 11.276588}}",,asap
T123,Temporal,28.49,600,"{'_source': {'id1': 'id067', 'id2': 'id059', 'value': 46.036795}}",,asap
T124,Temporal,29.03,600,"{'_source': {'id1': 'id063', 'id2': 'id063', 'value': 5.185919}}",,asap
T125,Temporal,28.83,600,"{'_source': {'id1': 'id071', 'id2': 'id062', 'value': 91.235361}}",,asap
T126,Temporal,30.30,600,"{'_source': {'id1': 'id094', 'id2': 'id018', 'value': 18.771277}}",,asap
T127,Temporal,30.00,600,"{'_source': {'id1': 'id029', 'id2': 'id070', 'value': 47.06525}}",,asap
T128,Temporal,17.16,600,"{'_source': {'id1': 'id004', 'id2': 'id052', 'value': 56.455905}}",,asap
T129,Temporal,28.94,600,"{'_source': {'id1': 'id032', 'id2': 'id057', 'value': 16.320006}}",,asap
T130,Temporal,24.20,600,"{'_source': {'id1': 'id022', 'id2': 'id073', 'value': 37.182712}}",,asap
T131,Temporal,29.10,600,"{'_source': {'id1': 'id100', 'id2': 'id008', 'value': 21.039815}}",,asap
T132,Temporal,26.74,600,"{'_source': {'id1': 'id022', 'id2': 'id044', 'value': 58.491327}}",,asap
T133,Temporal,32.40,600,"{'_source': {'id1': 'id023', 'id2': 'id022', 'value': 61.778243}}",,asap
T134,Temporal,28.95,600,"{'_source': {'id1': 'id039', 'id2': 'id034', 'value': 12.674863}}",,asap
T135,Temporal,16.03,600,"{'_source': {'id1': 'id033', 'id2': 'id063', 'value': 1.427288}}",,asap
T136,Temporal,28.52,600,"{'_source': {'id1': 'id052', 'id2': 'id080', 'value': 31.162945}}",,asap
T137,Temporal,27.88,600,"{'_source': {'id1': 'id080', 'id2': 'id001', 'value': 5.922034}}",,asap
T138,Temporal,29.86,600,"{'_source': {'id1': 'id088', 'id2': 'id033', 'value': 77.851592}}",,asap
T139,Temporal,27.78,600,"{'_source': {'id1': 'id071', 'id2': 'id058', 'value': 82.372487}}",,asap
T140,Temporal,28.92,600,"{'_source': {'id1': 'id042', 'id2': 'id096', 'value': 55.833739}}",,asap
T141,Temporal,29.48,600,"{'_source': {'id1': 'id051', 'id2': 'id044', 'value': 54.593332}}",,asap
T142,Temporal,28.86,600,"{'_source': {'id1': 'id069', 'id2': 'id025', 'value': 16.30513}}",,asap
T143,Temporal,15.86,600,"{'_source': {'id1': 'id056', 'id2': 'id078', 'value': 21.863876}}",,asap
T144,Temporal,28.35,600,"{'_source': {'id1': 'id048', 'id2': 'id042', 'value': 93.879111}}",,asap
T145,Temporal,29.00,600,"{'_source': {'id1': 'id035', 'id2': 'id055', 'value': 86.263694}}",,asap
T146,Temporal,29.02,600,"{'_source': {'id1': 'id015', 'id2': 'id039', 'value': 44.372391}}",,asap
T147,Temporal,29.43,600,"{'_source': {'id1': 'id064', 'id2': 'id096', 'value': 22.424755}}",,asap
T148,Temporal,29.77,600,"{'_source': {'id1': 'id037', 'id2': 'id015', 'value': 69.927623}}",,asap
T149,Temporal,28.82,600,"{'_source': {'id1': 'id039', 'id2': 'id012', 'value': 19.493148}}",,asap
T150,Temporal,29.10,600,"{'_source': {'id1': 'id069', 'id2': 'id015', 'value': 19.631934}}",,asap
T151,Temporal,28.97,600,"{'_source': {'id1': 'id054', 'id2': 'id072', 'value': 48.394145}}",,asap
T152,Temporal,29.03,600,"{'_source': {'id1': 'id020', 'id2': 'id005', 'value': 52.10209}}",,asap
T153,Temporal,12.79,600,"{'_source': {'id1': 'id021', 'id2': 'id093', 'value': 64.620305}}",,asap
T154,Temporal,29.22,600,"{'_source': {'id1': 'id090', 'id2': 'id088', 'value': 7.602389}}",,asap
T155,Temporal,33.98,600,"{'_source': {'id1': 'id019', 'id2': 'id067', 'value': 3.410962}}",,asap
T156,Temporal,29.91,600,"{'_source': {'id1': 'id015', 'id2': 'id023', 'value': 34.376438}}",,asap
T157,Temporal,14.44,600,"{'_source': {'id1': 'id039', 'id2': 'id085', 'value': 45.851145}}",,asap
T158,Temporal,28.59,600,"{'_source': {'id1': 'id094', 'id2': 'id088', 'value': 95.24771}}",,asap
T159,Temporal,28.27,600,"{'_source': {'id1': 'id072', 'id2': 'id067', 'value': 74.979874}}",,asap
T160,Temporal,28.76,600,"{'_source': {'id1': 'id098', 'id2': 'id093', 'value': 98.489156}}",,asap
T161,Temporal,28.05,600,"{'_source': {'id1': 'id008', 'id2': 'id089', 'value': 80.302895}}",,asap
T162,Temporal,30.38,600,"{'_source': {'id1': 'id021', 'id2': 'id093', 'value': 0.706006}}",,asap
T163,Temporal,30.13,600,"{'_source': {'id1': 'id033', 'id2': 'id100', 'value': 81.270851}}",,asap
T164,Temporal,19.57,600,"{'_source': {'id1': 'id097', 'id2': 'id039', 'value': 88.738035}}",,asap
T165,Temporal,28.91,600,"{'_source': {'id1': 'id063', 'id2': 'id003', 'value': 21.581369}}",,asap
