query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T140,Temporal,64.23,1000,"['id001', 'id001', 91.043571]",,baseline
T141,Temporal,50.72,1000,"['id001', 'id001', 69.063976]",,baseline
T142,Temporal,51.73,1000,"['id001', 'id001', 98.18383]",,baseline
T143,Temporal,46.92,1000,"['id001', 'id001', 92.334306]",,baseline
T144,Temporal,53.61,1000,"['id001', 'id001', 81.340963]",,baseline
T145,Temporal,49.89,1000,"['id001', 'id001', 97.448029]",,baseline
T146,Temporal,48.41,1000,"['id001', 'id001', 69.925571]",,baseline
T147,Temporal,49.33,1000,"['id001', 'id001', 92.935041]",,baseline
T148,Temporal,49.79,1000,"['id001', 'id001', 56.347144]",,baseline
T149,Temporal,65.67,1000,"['id001', 'id001', 87.464747]",,baseline
T150,Temporal,48.87,1000,"['id001', 'id001', 52.999297]",,baseline
T151,Temporal,57.71,1000,"['id001', 'id001', 90.453171]",,baseline
T152,Temporal,48.96,1000,"['id001', 'id001', 95.004092]",,baseline
T153,Temporal,49.87,1000,"['id001', 'id001', 98.50795]",,baseline
T154,Temporal,50.88,1000,"['id001', 'id001', 66.286116]",,baseline
T155,Temporal,56.74,1000,"['id001', 'id001', 56.414918]",,baseline
T156,Temporal,46.82,1000,"['id001', 'id001', 92.810364]",,baseline
T157,Temporal,61.62,1000,"['id001', 'id001', 93.872769]",,baseline
T158,Temporal,59.45,1000,"['id001', 'id001', 97.18501]",,baseline
T159,Temporal,47.10,1000,"['id001', 'id001', 62.470388]",,baseline
T160,Temporal,56.45,1000,"['id001', 'id001', 81.593226]",,baseline
T161,Temporal,61.92,1000,"['id001', 'id001', 90.749028]",,baseline
T162,Temporal,45.77,1000,"['id001', 'id001', 87.003262]",,baseline
T163,Temporal,70.43,1000,"['id001', 'id001', 80.257416]",,baseline
T164,Temporal,65.24,1000,"['id001', 'id001', 99.146094]",,baseline
T165,Temporal,25.06,793,"['id001', 'id011', 46.079642]",,baseline
T166,Temporal,19.35,584,"['id001', 'id009', 65.933288]",,baseline
T167,Temporal,19.66,584,"['id001', 'id065', 97.4923554]",,baseline
T168,Temporal,23.09,581,"['id001', 'id009', 11.663165]",,baseline
T169,Temporal,20.16,586,"['id001', 'id024', 0.851541]",,baseline
