query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T207,Temporal,24.86,587,"['id001', 'id035', 45.381633]",,baseline
T208,Temporal,24.87,586,"['id001', 'id044', 46.716924]",,baseline
T209,Temporal,17.44,592,"['id001', 'id010', 59.033477]",,baseline
T210,Temporal,27.66,583,"['id001', 'id001', 37.974106]",,baseline
T211,Temporal,22.47,582,"['id001', 'id007', 13.433612]",,baseline
T212,Temporal,27.66,582,"['id001', 'id027', 12.82169]",,baseline
T213,Temporal,15.84,586,"['id001', 'id001', 30.887694]",,baseline
T214,Temporal,24.96,589,"['id001', 'id028', 11.79879]",,baseline
T215,Temporal,13.03,582,"['id001', 'id025', 54.607188]",,baseline
T216,Temporal,17.22,582,"['id001', 'id009', 91.223286]",,baseline
T217,Temporal,28.00,586,"['id001', 'id007', 4.555611]",,baseline
T218,Temporal,19.43,588,"['id001', 'id012', 21.325481]",,baseline
T219,Temporal,14.32,581,"['id001', 'id009', 84.029676]",,baseline
T220,Temporal,13.32,584,"['id001', 'id022', 91.115232]",,baseline
T221,Temporal,20.82,586,"['id001', 'id003', 0.968357]",,baseline
T222,Temporal,18.38,585,"['id001', 'id010', 32.521127]",,baseline
T223,Temporal,26.87,589,"['id001', 'id027', 41.098135]",,baseline
T224,Temporal,19.64,586,"['id001', 'id001', 33.925137]",,baseline
T225,Temporal,14.76,586,"['id001', 'id016', 83.670691]",,baseline
T226,Temporal,18.34,590,"['id001', 'id009', 90.290572]",,baseline
T227,Temporal,26.84,581,"['id001', 'id021', 77.937667]",,baseline
T228,Temporal,23.84,584,"['id001', 'id001', 78.883803]",,baseline
T229,Temporal,17.52,581,"['id001', 'id004', 56.922693]",,baseline
T230,Temporal,17.62,593,"['id001', 'id019', 72.851469]",,baseline
T231,Temporal,18.48,587,"['id001', 'id017', 35.660386]",,baseline
T232,Temporal,18.02,586,"['id001', 'id001', 4.761888]",,baseline
T233,Temporal,13.41,580,"['id001', 'id023', 20.214708]",,baseline
T234,Temporal,15.69,582,"['id001', 'id051', 59.240262]",,baseline
T235,Temporal,14.53,580,"['id001', 'id012', 81.36505]",,baseline
T236,Temporal,23.90,578,"['id001', 'id045', 27.21471]",,baseline
T237,Temporal,16.00,591,"['id001', 'id018', 0.167057]",,baseline
T238,Temporal,15.14,582,"['id001', 'id022', 16.85271]",,baseline
T239,Temporal,14.57,581,"['id001', 'id047', 7.358213]",,baseline
T240,Temporal,12.70,586,"['id001', 'id001', 98.102917]",,baseline
T241,Temporal,18.16,583,"['id001', 'id025', 27.759229]",,baseline
T242,Temporal,18.41,588,"['id001', 'id005', 77.926955]",,baseline
T243,Temporal,24.17,575,"['id001', 'id003', 83.866047]",,baseline
T244,Temporal,15.01,582,"['id001', 'id001', 72.08849]",,baseline
T245,Temporal,24.82,583,"['id001', 'id001', 38.415688]",,baseline
T246,Temporal,27.08,584,"['id001', 'id010', 76.860054]",,baseline
T247,Temporal,22.93,579,"['id001', 'id004', 63.06933355]",,baseline
T248,Temporal,19.07,584,"['id001', 'id034', 95.432011]",,baseline
T249,Temporal,16.06,572,"['id001', 'id004', 71.737228]",,baseline
T250,Temporal,14.11,590,"['id001', 'id031', 89.873835]",,baseline
T251,Temporal,12.77,575,"['id001', 'id051', 95.619124]",,baseline
T252,Temporal,22.27,576,"['id001', 'id004', 51.910601]",,baseline
T253,Temporal,18.60,588,"['id001', 'id010', 81.724292]",,baseline
T254,Temporal,19.50,576,"['id001', 'id030', 87.240927]",,baseline
T255,Temporal,20.72,591,"['id001', 'id019', 67.296047]",,baseline
T256,Temporal,25.40,581,"['id001', 'id007', 32.412472]",,baseline
T257,Temporal,19.57,585,"['id001', 'id029', 8.921734]",,baseline
T258,Temporal,24.46,582,"['id001', 'id008', 76.068392]",,baseline
T259,Temporal,14.43,583,"['id001', 'id002', 69.047102]",,baseline
T260,Temporal,22.78,580,"['id001', 'id014', 43.780198]",,baseline
T261,Temporal,17.77,583,"['id001', 'id019', 55.66684]",,baseline
T262,Temporal,23.73,580,"['id001', 'id015', 69.99338589999999]",,baseline
T263,Temporal,20.73,586,"['id001', 'id016', 22.22892]",,baseline
